target,family,method,run,evaluations,ratio
reg3_m60_s6,reg3,cold,0,19060,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19110,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19160,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19210,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19260,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19310,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19360,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19410,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19460,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19510,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19560,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19610,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19660,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19710,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19760,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19810,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19860,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19910,0.9259259259259259
reg3_m60_s6,reg3,cold,0,19960,0.9259259259259259
reg3_m60_s6,reg3,cold,0,20010,0.9259259259259259
reg3_m60_s6,reg3,prior_init,0,210,0.7037037037037037
reg3_m60_s6,reg3,prior_init,0,260,0.7037037037037037
reg3_m60_s6,reg3,prior_init,0,310,0.8148148148148148
reg3_m60_s6,reg3,prior_init,0,360,0.8148148148148148
reg3_m60_s6,reg3,prior_init,0,410,0.8148148148148148
reg3_m60_s6,reg3,prior_init,0,460,0.8148148148148148
reg3_m60_s6,reg3,prior_init,0,510,0.8148148148148148
reg3_m60_s6,reg3,prior_init,0,560,0.8148148148148148
reg3_m60_s6,reg3,prior_init,0,610,0.8148148148148148
reg3_m60_s6,reg3,prior_init,0,660,0.8148148148148148
reg3_m60_s6,reg3,prior_init,0,710,0.8148148148148148
reg3_m60_s6,reg3,prior_init,0,760,0.8395061728395061
reg3_m60_s6,reg3,prior_init,0,810,0.8395061728395061
reg3_m60_s6,reg3,prior_init,0,860,0.8395061728395061
reg3_m60_s6,reg3,prior_init,0,910,0.8395061728395061
reg3_m60_s6,reg3,prior_init,0,960,0.8395061728395061
reg3_m60_s6,reg3,prior_init,0,1010,0.8395061728395061
reg3_m60_s6,reg3,prior_init,0,1060,0.8395061728395061
reg3_m60_s6,reg3,prior_init,0,1110,0.8518518518518519
reg3_m60_s6,reg3,prior_init,0,1160,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1210,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1260,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1310,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1360,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1410,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1460,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1510,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1560,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1610,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1660,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1710,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1760,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1810,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1860,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1910,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,1960,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,2010,0.8641975308641975
reg3_m60_s6,reg3,prior_init,0,2060,0.8518518518518519
reg3_m60_s6,reg3,prior_init,0,2110,0.8518518518518519
reg3_m60_s6,reg3,prior_init,0,2160,0.8518518518518519
reg3_m60_s6,reg3,prior_init,0,2210,0.8518518518518519
reg3_m60_s6,reg3,prior_init,0,2260,0.8518518518518519
reg3_m60_s6,reg3,prior_init,0,2310,0.8518518518518519
reg3_m60_s6,reg3,prior_init,0,2360,0.8518518518518519
